"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
149,"J.K. Dobbins","17","RB",88,257,147.75,27.88
150,"Jaleel McLaughlin","17","RB",98,256,147.83,22.2
151,"Jahan Dotson","18","WR",106,204,155.48,19.47
152,"Hunter Henry","18","TE",111,252,157.19,26.39
153,"Dontayvion Wicks","18","WR",106,263,158.07,28.7
154,"Will Levis","18","QB",118,282,159.01,28.52
155,"Adam Thielen","19","WR",109,244,165.98,24.35
156,"Ray Davis","19","RB",119,302,167.44,31.72
157,"Adonai Mitchell","19","WR",120,287,167.79,26.88
158,"DeMario Douglas","19","WR",117,229,168.72,20.88
159,"Taysom Hill","19","TE",96,319,167.05,42.49
160,"Tyler Conklin","19","TE",105,264,167.41,34.51
161,"MarShawn Lloyd","19","RB",113,259,162.51,28.3
162,"Michael Wilson","20","WR",133,225,173.29,19.07
163,"Darnell Mooney","20","WR",118,243,170.7,26.11
164,"Khalil Herbert","19","RB",115,256,166.32,30.08
165,"Daniel Jones","21","QB",112,285,179.24,41.45
166,"Ja'Lynn Polk","20","WR",119,263,170.41,29.95
167,"Rashod Bateman","21","WR",105,285,180.87,25.42
168,"Cade Otton","21","TE",133,272,180.88,26.94
169,"Derek Carr","21","QB",128,311,183.65,42.4
170,"Jaylen Wright","20","RB",107,327,171.57,37.16
171,"Wan'Dale Robinson","22","WR",135,261,186.09,23.04
172,"Noah Fant","22","TE",130,281,193.27,34.26
173,"Kendre Miller","20","RB",127,314,174.9,34.76
174,"Xavier Legette","22","WR",122,286,185.65,29.25
175,"Jermaine Burton","23","WR",139,317,204.02,35.98
176,"Demarcus Robinson","23","WR",136,286,195.64,30.54
177,"Roschon Johnson","21","RB",129,278,181.42,30.73
178,"Braelon Allen","22","RB",132,289,191.7,34.24
179,"Bucky Irving","22","RB",127,270,187.55,32.34
180,"Bryce Young","22","QB",133,291,188.51,40.67
181,"Marvin Mims Jr.","22","WR",131,278,188.82,26.52
182,"Ben Sinnott","24","TE",131,363,219.79,41.34
183,"Ricky Pearsall","23","WR",145,270,198.07,26.96
184,"Dameon Pierce","23","RB",146,279,198.56,26.65
185,"Juwan Johnson","23","TE",137,273,199.26,30
186,"Sam Darnold","23","QB",124,382,200.81,56.78
187,"Elijah Mitchell","23","RB",142,317,196.7,31.35
188,"Javon Baker","24","WR",148,384,224.86,43.27
189,"Isaiah Likely","23","TE",137,299,206.82,31.07
190,"Chigoziem Okonkwo","23","TE",111,334,203.01,35.93
191,"Quentin Johnston","23","WR",154,288,203.19,32.88
192,"Russell Wilson","24","QB",127,331,218.15,47.81
193,"Baltimore Ravens","19","DST",145,250,163.24,19.61
194,"Audric Estime","24","RB",154,386,219.61,35.62
195,"Darius Slayton","24","WR",165,293,218,22.39
196,"Bo Nix","24","QB",128,342,223.68,49.25
197,"San Francisco 49ers","19","DST",150,251,169.31,17.05
198,"New York Jets","20","DST",148,270,171.26,18.04
199,"Tyler Boyd","24","WR",144,287,219.49,24.7
200,"Dallas Cowboys","20","DST",141,279,175.26,16.77
