"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
69,"Aaron Jones","10","RB",48,116,68.11,8.35
70,"Raheem Mostert","10","RB",37,101,69.26,9.49
71,"George Kittle","10","TE",49,94,69.44,11.48
72,"Zamir White","10","RB",42,113,71.27,12.45
73,"D'Andre Swift","11","RB",45,116,74.94,10.61
74,"Diontae Johnson","11","WR",47,108,75.72,13.27
75,"Kyle Pitts","11","TE",25,110,75.8,14.27
76,"Chris Godwin","11","WR",36,120,75.84,15.52
77,"Jayden Daniels","11","QB",54,254,77.14,21.87
78,"Jayden Reed","11","WR",43,131,77.57,15.11
79,"Brock Purdy","11","QB",58,105,79.61,9.1
80,"Dalton Kincaid","11","TE",27,105,81.64,12.89
81,"Keenan Allen","11","WR",41,123,81.91,18.1
82,"Tony Pollard","11","RB",67,140,82.14,12.6
83,"Brian Robinson Jr.","11","RB",61,117,82.75,12.15
84,"Christian Watson","12","WR",38,125,85.17,14.56
85,"Xavier Worthy","12","WR",56,115,87.18,11.9
86,"Caleb Williams","12","QB",58,133,87.28,13.07
87,"Tua Tagovailoa","12","QB",70,118,87.76,10.31
88,"Javonte Williams","12","RB",66,121,88.5,12.44
89,"Devin Singletary","12","RB",68,122,90.27,12.76
90,"Jared Goff","12","QB",60,107,90.58,9.52
91,"DeAndre Hopkins","13","WR",59,149,94.7,15.95
