"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
53,"Zay Flowers","8","WR",24,93,53.41,11.36
54,"Tee Higgins","8","WR",35,83,54.16,8.95
55,"C.J. Stroud","8","QB",26,84,54.46,8.78
56,"Kyler Murray","8","QB",31,86,57.03,9.9
57,"George Pickens","8","WR",33,102,57.47,12.29
58,"Christian Kirk","9","WR",36,94,59.98,12.32
59,"James Conner","9","RB",23,80,61.24,10.18
60,"Mark Andrews","9","TE",25,88,61.28,17.49
61,"Tank Dell","9","WR",42,106,61.48,13.31
62,"Joe Burrow","9","QB",46,125,62.67,10.16
63,"Rhamondre Stevenson","9","RB",36,99,63,10.26
64,"Aaron Jones","9","RB",36,91,63.16,9.21
65,"Chris Godwin","9","WR",35,94,63.65,12.18
66,"Dak Prescott","9","QB",37,106,66.17,12.71
67,"Dalton Kincaid","9","TE",29,100,66.38,15.96
68,"Diontae Johnson","10","WR",37,94,67.42,12.47
69,"David Montgomery","10","RB",48,95,69.03,9.51
70,"Jordan Love","10","QB",51,91,69.04,8.83
71,"Keenan Allen","10","WR",26,111,70.82,14.82
72,"Calvin Ridley","10","WR",38,108,72.05,12.92
73,"D'Andre Swift","10","RB",42,101,72.28,9.99
74,"Najee Harris","10","RB",48,100,73.96,8.79
75,"Javonte Williams","11","RB",36,116,74.41,13.72
76,"Evan Engram","11","TE",49,100,78.04,11.4
77,"Jayden Daniels","11","QB",54,127,78.62,14.17
78,"Raheem Mostert","11","RB",48,119,79.23,13.31
79,"Tony Pollard","11","RB",55,116,80.78,12.18
80,"Zamir White","11","RB",52,121,80.93,14.71
81,"Brock Purdy","11","QB",58,126,83.14,10.56
82,"Kyle Pitts","11","TE",38,108,83.41,14.26
